"","treatment","season","otu","avgAbund","Domain","Phylum","Class","Order","Family","Genus"
"1","PI","f","Otu00002",1.27200370632125,"Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6","Gp6_unclassified","Gp6_unclassified"
"2","PI","f","Otu00003",1.79720759281011,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium"
"3","PI","f","Otu00004",0.811963019003903,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"4","PI","f","Otu00005",1.18542985336962,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Methylocystis"
"5","PI","f","Otu00006",1.02318145483613,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"6","PI","f","Otu00008",1.0951239008793,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"7","PI","f","Otu00009",0.7733066017471,"Archaea","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Nitrososphaera_unclassified"
"8","PI","f","Otu00011",0.647482014388489,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"9","PI","f","Otu00014",0.575226181168323,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"10","PI","f","Otu00015",0.79478734068452,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"11","PI","f","Otu00016",0.599747165296915,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodomicrobium"
"12","PI","f","Otu00017",0.775379696243006,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"13","PI","f","Otu00018",0.819051226209639,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"14","PI","f","Otu00019",0.601460690247744,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"15","PI","f","Otu00020",0.88773513110622,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"16","PI","f","Otu00021",0.873787346420311,"Bacteria","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"17","PI","f","Otu00022",0.587140197622798,"Bacteria","Verrucomicrobia","Subdivision3","Subdivision3_unclassified","Subdivision3_unclassified","Subdivision3_unclassified"
"18","PI","f","Otu00023",0.551558752997602,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"19","PI","f","Otu00026",0.588118613656146,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"20","PI","f","Otu00027",0.61550759392486,"Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6","Gp6_unclassified","Gp6_unclassified"
"21","PI","f","Otu00028",0.735411670663469,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium"
"22","PI","f","Otu00037",0.64162760598075,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Syntrophaceae_unclassified"
"23","PI","f","Otu00042",1.64621150878224,"Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"24","PI","f","Otu00083",0.654075108400088,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Anaeromyxobacter"
"25","PI","f","Otu00137",0.573234364665246,"Bacteria","Chloroflexi","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified"
"26","PI","f","Otu00232",0.808407437348424,"Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified"
"27","PI","f","Otu00314",1.50657749687661,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobia_unclassified","Methanomicrobia_unclassified","Methanomicrobia_unclassified"
"28","PI","f","Otu00464",0.752769624088628,"Bacteria","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"29","PI","f","Otu00774",0.690820901006835,"Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"30","PI","sp","Otu00002",1.27047445855364,"Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6","Gp6_unclassified","Gp6_unclassified"
"31","PI","sp","Otu00003",1.7894562280206,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium"
"32","PI","sp","Otu00004",1.07323189695518,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"33","PI","sp","Otu00005",1.07355427337909,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Methylocystis"
"34","PI","sp","Otu00006",0.836310644451102,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"35","PI","sp","Otu00007",0.693081452404318,"Bacteria","Verrucomicrobia","Spartobacteria","Spartobacteria_unclassified","Spartobacteria_unclassified","Spartobacteria_unclassified"
"36","PI","sp","Otu00008",0.687538960889606,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"37","PI","sp","Otu00009",0.908824391673996,"Archaea","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Nitrososphaera_unclassified"
"38","PI","sp","Otu00011",0.660780720750736,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"39","PI","sp","Otu00012",0.588594591593092,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"40","PI","sp","Otu00015",0.631746810598626,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"41","PI","sp","Otu00016",0.68160992314806,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodomicrobium"
"42","PI","sp","Otu00017",0.603746894407992,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"43","PI","sp","Otu00018",0.644013738959764,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"44","PI","sp","Otu00019",0.566383474929202,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"45","PI","sp","Otu00021",1.00254233223006,"Bacteria","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"46","PI","sp","Otu00026",0.688087624126796,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"47","PI","sp","Otu00028",0.710755733244489,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium"
"48","PI","sp","Otu00030",0.618794071089365,"Bacteria","Verrucomicrobia","Subdivision3","Subdivision3_unclassified","Subdivision3_unclassified","Subdivision3_unclassified"
"49","PI","sp","Otu00034",0.576545632973503,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium"
"50","PI","sp","Otu00036",0.822555478884699,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcaceae_unclassified"
"51","PI","sp","Otu00037",0.642778337410659,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Syntrophaceae_unclassified"
"52","PI","sp","Otu00562",0.647948164146868,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"53","SL","f","Otu00002",1.64910787778879,"Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6","Gp6_unclassified","Gp6_unclassified"
"54","SL","f","Otu00003",1.39304812340587,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium"
"55","SL","f","Otu00004",1.02275992526248,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"56","SL","f","Otu00005",1.1307930460522,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Methylocystis"
"57","SL","f","Otu00006",0.960831717057214,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"58","SL","f","Otu00007",0.833279577320923,"Bacteria","Verrucomicrobia","Spartobacteria","Spartobacteria_unclassified","Spartobacteria_unclassified","Spartobacteria_unclassified"
"59","SL","f","Otu00008",0.907046890398329,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"60","SL","f","Otu00009",0.884957605302206,"Archaea","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Nitrososphaera_unclassified"
"61","SL","f","Otu00011",0.802126785194883,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"62","SL","f","Otu00013",0.634327475218253,"Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6","Gp6_unclassified","Gp6_unclassified"
"63","SL","f","Otu00014",0.679463224052998,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"64","SL","f","Otu00015",0.671319729340935,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"65","SL","f","Otu00016",0.758733933525848,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodomicrobium"
"66","SL","f","Otu00017",0.656814449917898,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"67","SL","f","Otu00019",0.580148085083903,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"68","SL","f","Otu00020",0.790543036571851,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"69","SL","f","Otu00024",0.567162960238446,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"70","SL","f","Otu00025",0.698346022578105,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"71","SL","f","Otu00026",0.810958726918011,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"72","SL","f","Otu00028",0.617179095181473,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium"
"73","SL","f","Otu00030",0.593331583092675,"Bacteria","Verrucomicrobia","Subdivision3","Subdivision3_unclassified","Subdivision3_unclassified","Subdivision3_unclassified"
"74","SL","f","Otu00036",0.821018062397373,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcaceae_unclassified"
"75","SL","f","Otu00038",0.642777983007019,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"76","SL","f","Otu00076",0.635337358886847,"Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutus"
"77","SL","f","Otu00108",0.687107499076468,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"78","SL","sp","Otu00002",1.32490210856165,"Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6","Gp6_unclassified","Gp6_unclassified"
"79","SL","sp","Otu00003",1.36808285311132,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium"
"80","SL","sp","Otu00004",0.962331462285767,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"81","SL","sp","Otu00005",0.693386215421308,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Methylocystis"
"82","SL","sp","Otu00006",1.18254220500749,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"83","SL","sp","Otu00007",0.770574976254493,"Bacteria","Verrucomicrobia","Spartobacteria","Spartobacteria_unclassified","Spartobacteria_unclassified","Spartobacteria_unclassified"
"84","SL","sp","Otu00008",0.928782432070456,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"85","SL","sp","Otu00009",1.05691099607331,"Archaea","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Nitrososphaera_unclassified"
"86","SL","sp","Otu00011",0.724364390806659,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"87","SL","sp","Otu00013",0.691154442001141,"Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6","Gp6_unclassified","Gp6_unclassified"
"88","SL","sp","Otu00014",0.583650558701405,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"89","SL","sp","Otu00015",0.746206348043936,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"90","SL","sp","Otu00016",0.662878680868043,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodomicrobium"
"91","SL","sp","Otu00017",0.652116376599068,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"92","SL","sp","Otu00018",0.686919504643963,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"93","SL","sp","Otu00020",0.808407161606894,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"94","SL","sp","Otu00021",0.730456656346749,"Bacteria","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"95","SL","sp","Otu00022",0.616832200731835,"Bacteria","Verrucomicrobia","Subdivision3","Subdivision3_unclassified","Subdivision3_unclassified","Subdivision3_unclassified"
"96","SL","sp","Otu00025",0.791078585119359,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"97","SL","sp","Otu00026",1.09062888981092,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"98","SL","sp","Otu00027",0.55716910675123,"Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6","Gp6_unclassified","Gp6_unclassified"
"99","SL","sp","Otu00028",0.781521361583883,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium"
"100","SL","sp","Otu00036",0.616442415980084,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcaceae_unclassified"
"101","SL","sp","Otu00042",0.683045826799094,"Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"102","SL","sp","Otu00044",0.735294117647059,"Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","Geothrix"
"103","SL","sp","Otu00059",0.613638995021419,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Roseiarcaceae","Roseiarcus"
"104","SL","sp","Otu00072",0.551470588235294,"Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dechloromonas"
"105","SL","sp","Otu00417",0.633707430340557,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfuricurvum"
