,treatment,season,otu,avgAbund,Domain,Phylum,Class,,Order,Family,Genus
1,PI,f,Otu00002,1.272003706,Bacteria,Acidobacteria,Acidobacteria_Gp6,,Gp6,Gp6,Gp6
2,PI,f,Otu00003,1.797207593,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
3,PI,f,Otu00004,0.811963019,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
4,PI,f,Otu00005,1.185429853,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Methylocystaceae,Methylocystis
5,PI,f,Otu00006,1.023181455,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium
6,PI,f,Otu00008,1.095123901,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
7,PI,f,Otu00009,0.773306602,Archaea,Thaumarchaeota,Nitrososphaerales,,Nitrososphaeraceae,Nitrososphaera,Nitrososphaera
8,PI,f,Otu00011,0.647482014,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
9,PI,f,Otu00014,0.575226181,Bacteria,Proteobacteria,Betaproteobacteria,,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria
10,PI,f,Otu00015,0.794787341,Bacteria,Proteobacteria,Deltaproteobacteria,,Desulfuromonadales,Geobacteraceae,Geobacter
11,PI,f,Otu00016,0.599747165,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Hyphomicrobiaceae,Rhodomicrobium
12,PI,f,Otu00017,0.775379696,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
13,PI,f,Otu00018,0.819051226,Bacteria,Proteobacteria,Betaproteobacteria,,Burkholderiales,Comamonadaceae,Comamonadaceae
14,PI,f,Otu00019,0.60146069,Bacteria,Proteobacteria,Betaproteobacteria,,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria
15,PI,f,Otu00020,0.887735131,Bacteria,Proteobacteria,Deltaproteobacteria,,Desulfuromonadales,Geobacteraceae,Geobacter
16,PI,f,Otu00021,0.873787346,Bacteria,Bacteroidetes,Bacteroidetes,,Bacteroidetes,Bacteroidetes,Bacteroidetes
17,PI,f,Otu00022,0.587140198,Bacteria,Verrucomicrobia,Subdivision3,,Subdivision3,Subdivision3,Subdivision3
18,PI,f,Otu00023,0.551558753,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
19,PI,f,Otu00026,0.588118614,Bacteria,Firmicutes,Bacilli,,Bacillales,Bacillales,Bacillales
20,PI,f,Otu00027,0.615507594,Bacteria,Acidobacteria,Acidobacteria_Gp6,,Gp6,Gp6,Gp6
21,PI,f,Otu00028,0.735411671,Archaea,Euryarchaeota,Methanobacteria,,Methanobacteriales,Methanobacteriaceae,Methanobacterium
22,PI,f,Otu00037,0.641627606,Bacteria,Proteobacteria,Deltaproteobacteria,,Syntrophobacterales,Syntrophaceae,Syntrophaceae
23,PI,f,Otu00042,1.646211509,Bacteria,Proteobacteria,Proteobacteria_unclassified,,Proteobacteria,Proteobacteria,Proteobacteria
24,PI,f,Otu00083,0.654075108,Bacteria,Proteobacteria,Deltaproteobacteria,,Myxococcales,Cystobacteraceae,Anaeromyxobacter
25,PI,f,Otu00137,0.573234365,Bacteria,Chloroflexi,Chloroflexi,,Chloroflexi,Chloroflexi,Chloroflexi
26,PI,f,Otu00232,0.808407437,Bacteria,Proteobacteria,Deltaproteobacteria,,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria
27,PI,f,Otu00314,1.506577497,Archaea,Euryarchaeota,Methanomicrobia,,Methanomicrobia,Methanomicrobia,Methanomicrobia
28,PI,f,Otu00464,0.752769624,Bacteria,Bacteroidetes,Bacteroidetes,,Bacteroidetes,Bacteroidetes,Bacteroidetes
29,PI,f,Otu00774,0.690820901,Bacteria,Proteobacteria,Proteobacteria,,Proteobacteria,Proteobacteria,Proteobacteria
30,PI,sp,Otu00002,1.270474459,Bacteria,Acidobacteria,Acidobacteria_Gp6,,Gp6,Gp6,Gp6
31,PI,sp,Otu00003,1.789456228,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
32,PI,sp,Otu00004,1.073231897,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
33,PI,sp,Otu00005,1.073554273,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Methylocystaceae,Methylocystis
34,PI,sp,Otu00006,0.836310644,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium
35,PI,sp,Otu00007,0.693081452,Bacteria,Verrucomicrobia,Spartobacteria,,Spartobacteria,Spartobacteria,Spartobacteria
36,PI,sp,Otu00008,0.687538961,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
37,PI,sp,Otu00009,0.908824392,Archaea,Thaumarchaeota,Nitrososphaerales,,Nitrososphaeraceae,Nitrososphaera,Nitrososphaera
38,PI,sp,Otu00011,0.660780721,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
39,PI,sp,Otu00012,0.588594592,Bacteria,Firmicutes,Bacilli,,Bacillales,Bacillales,Bacillales
40,PI,sp,Otu00015,0.631746811,Bacteria,Proteobacteria,Deltaproteobacteria,,Desulfuromonadales,Geobacteraceae,Geobacter
41,PI,sp,Otu00016,0.681609923,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Hyphomicrobiaceae,Rhodomicrobium
42,PI,sp,Otu00017,0.603746894,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
43,PI,sp,Otu00018,0.644013739,Bacteria,Proteobacteria,Betaproteobacteria,,Burkholderiales,Comamonadaceae,Comamonadaceae
44,PI,sp,Otu00019,0.566383475,Bacteria,Proteobacteria,Betaproteobacteria,,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria
45,PI,sp,Otu00021,1.002542332,Bacteria,Bacteroidetes,Bacteroidetes,,Bacteroidetes,Bacteroidetes,Bacteroidetes
46,PI,sp,Otu00026,0.688087624,Bacteria,Firmicutes,Bacilli,,Bacillales,Bacillales,Bacillales
47,PI,sp,Otu00028,0.710755733,Archaea,Euryarchaeota,Methanobacteria,,Methanobacteriales,Methanobacteriaceae,Methanobacterium
48,PI,sp,Otu00030,0.618794071,Bacteria,Verrucomicrobia,Subdivision3,,Subdivision3,Subdivision3,Subdivision3
49,PI,sp,Otu00034,0.576545633,Bacteria,Actinobacteria,Actinobacteria,,Actinomycetales,Mycobacteriaceae,Mycobacterium
50,PI,sp,Otu00036,0.822555479,Bacteria,Firmicutes,Bacilli,,Bacillales,Planococcaceae,Planococcaceae
51,PI,sp,Otu00037,0.642778337,Bacteria,Proteobacteria,Deltaproteobacteria,,Syntrophobacterales,Syntrophaceae,Syntrophaceae
52,PI,sp,Otu00562,0.647948164,Bacteria,Bacteroidetes,Bacteroidia,,Bacteroidales,Prevotellaceae,Prevotella
53,SL,f,Otu00002,1.649107878,Bacteria,Acidobacteria,Acidobacteria_Gp6,,Gp6,Gp6,Gp6
54,SL,f,Otu00003,1.393048123,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
55,SL,f,Otu00004,1.022759925,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
56,SL,f,Otu00005,1.130793046,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Methylocystaceae,Methylocystis
57,SL,f,Otu00006,0.960831717,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium
58,SL,f,Otu00007,0.833279577,Bacteria,Verrucomicrobia,Spartobacteria,,Spartobacteria,Spartobacteria,Spartobacteria
59,SL,f,Otu00008,0.90704689,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
60,SL,f,Otu00009,0.884957605,Archaea,Thaumarchaeota,Nitrososphaerales,,Nitrososphaeraceae,Nitrososphaera,Nitrososphaera
61,SL,f,Otu00011,0.802126785,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
62,SL,f,Otu00013,0.634327475,Bacteria,Acidobacteria,Acidobacteria_Gp6,,Gp6,Gp6,Gp6
63,SL,f,Otu00014,0.679463224,Bacteria,Proteobacteria,Betaproteobacteria,,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria
64,SL,f,Otu00015,0.671319729,Bacteria,Proteobacteria,Deltaproteobacteria,,Desulfuromonadales,Geobacteraceae,Geobacter
65,SL,f,Otu00016,0.758733934,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Hyphomicrobiaceae,Rhodomicrobium
66,SL,f,Otu00017,0.65681445,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
67,SL,f,Otu00019,0.580148085,Bacteria,Proteobacteria,Betaproteobacteria,,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria
68,SL,f,Otu00020,0.790543037,Bacteria,Proteobacteria,Deltaproteobacteria,,Desulfuromonadales,Geobacteraceae,Geobacter
69,SL,f,Otu00024,0.56716296,Bacteria,Proteobacteria,Betaproteobacteria,,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria
70,SL,f,Otu00025,0.698346023,Bacteria,Proteobacteria,Betaproteobacteria,,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria
71,SL,f,Otu00026,0.810958727,Bacteria,Firmicutes,Bacilli,,Bacillales,Bacillales,Bacillales
72,SL,f,Otu00028,0.617179095,Archaea,Euryarchaeota,Methanobacteria,,Methanobacteriales,Methanobacteriaceae,Methanobacterium
73,SL,f,Otu00030,0.593331583,Bacteria,Verrucomicrobia,Subdivision3,,Subdivision3,Subdivision3,Subdivision3
74,SL,f,Otu00036,0.821018062,Bacteria,Firmicutes,Bacilli,,Bacillales,Planococcaceae,Planococcaceae
75,SL,f,Otu00038,0.642777983,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
76,SL,f,Otu00076,0.635337359,Bacteria,Verrucomicrobia,Opitutae,,Opitutales,Opitutaceae,Opitutus
77,SL,f,Otu00108,0.687107499,Bacteria,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,Sphingomonadaceae,Sphingomonas
78,SL,sp,Otu00002,1.324902109,Bacteria,Acidobacteria,Acidobacteria_Gp6,,Gp6,Gp6,Gp6
79,SL,sp,Otu00003,1.368082853,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
80,SL,sp,Otu00004,0.962331462,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
81,SL,sp,Otu00005,0.693386215,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Methylocystaceae,Methylocystis
82,SL,sp,Otu00006,1.182542205,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium
83,SL,sp,Otu00007,0.770574976,Bacteria,Verrucomicrobia,Spartobacteria,,Spartobacteria,Spartobacteria,Spartobacteria
84,SL,sp,Otu00008,0.928782432,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
85,SL,sp,Otu00009,1.056910996,Archaea,Thaumarchaeota,Nitrososphaerales,,Nitrososphaeraceae,Nitrososphaera,Nitrososphaera
86,SL,sp,Otu00011,0.724364391,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
87,SL,sp,Otu00013,0.691154442,Bacteria,Acidobacteria,Acidobacteria_Gp6,,Gp6,Gp6,Gp6
88,SL,sp,Otu00014,0.583650559,Bacteria,Proteobacteria,Betaproteobacteria,,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria
89,SL,sp,Otu00015,0.746206348,Bacteria,Proteobacteria,Deltaproteobacteria,,Desulfuromonadales,Geobacteraceae,Geobacter
90,SL,sp,Otu00016,0.662878681,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Hyphomicrobiaceae,Rhodomicrobium
91,SL,sp,Otu00017,0.652116377,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
92,SL,sp,Otu00018,0.686919505,Bacteria,Proteobacteria,Betaproteobacteria,,Burkholderiales,Comamonadaceae,Comamonadaceae
93,SL,sp,Otu00020,0.808407162,Bacteria,Proteobacteria,Deltaproteobacteria,,Desulfuromonadales,Geobacteraceae,Geobacter
94,SL,sp,Otu00021,0.730456656,Bacteria,Bacteroidetes,Bacteroidetes,,Bacteroidetes,Bacteroidetes,Bacteroidetes
95,SL,sp,Otu00022,0.616832201,Bacteria,Verrucomicrobia,Subdivision3,,Subdivision3,Subdivision3,Subdivision3
96,SL,sp,Otu00025,0.791078585,Bacteria,Proteobacteria,Betaproteobacteria,,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria
97,SL,sp,Otu00026,1.09062889,Bacteria,Firmicutes,Bacilli,,Bacillales,Bacillales,Bacillales
98,SL,sp,Otu00027,0.557169107,Bacteria,Acidobacteria,Acidobacteria_Gp6,,Gp6,Gp6,Gp6
99,SL,sp,Otu00028,0.781521362,Archaea,Euryarchaeota,Methanobacteria,,Methanobacteriales,Methanobacteriaceae,Methanobacterium
100,SL,sp,Otu00036,0.616442416,Bacteria,Firmicutes,Bacilli,,Bacillales,Planococcaceae,Planococcaceae
101,SL,sp,Otu00042,0.683045827,Bacteria,Proteobacteria,Proteobacteria,,Proteobacteria,Proteobacteria,Proteobacteria
102,SL,sp,Otu00044,0.735294118,Bacteria,Acidobacteria,Holophagae,,Holophagales,Holophagaceae,Geothrix
103,SL,sp,Otu00059,0.613638995,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Roseiarcaceae,Roseiarcus
104,SL,sp,Otu00072,0.551470588,Bacteria,Proteobacteria,Betaproteobacteria,,Rhodocyclales,Rhodocyclaceae,Dechloromonas
105,SL,sp,Otu00417,0.63370743,Bacteria,Proteobacteria,Epsilonproteobacteria,,Campylobacterales,Helicobacteraceae,Sulfuricurvum
